Year,Production
2000.0,18086.303286384977
2001.0,17402.98845265589
2002.0,16198.44675925926
2003.0,14802.273942093541
2004.0,16332.3125
2005.0,9596.407397260275
2006.0,17187.471604938273
2007.0,9673.719387755102
2008.0,16176.821078431372
2009.0,16095.867647058823
2010.0,17653.863636363636
2011.0,13954.734908136483
2012.0,15012.177570093458
2013.0,15298.986225895316
2014.0,16368.06329113924
