2000,2.69
2001,2.25
2002,2.26
2003,2.19
2004,2.36
2005,2.35
2006,2.74
2007,2.31
2008,3
2009,2.27
2010,2.46
2011,2.86
2012,2.65
2013,3.02
2014,3.17
2015,2.81
2016,2.56
2017,4.87
2018,5
